name,description,is_active
Isabella,Data Scientist,TRUE
Jack,Product Marketing Specialist,FALSE
Kelly,Marketing Operations Manager,TRUE
Leo,Application Support Analyst,FALSE
Monica,Web Project Manager,TRUE
Nathan,IT Systems Engineer,FALSE
Olivia,Performance Marketing Manager,TRUE
Paul,User Experience Researcher,FALSE
Quinn,Creative Technologist,TRUE
Rita,Account Executive,FALSE
Samuel,Technical Architect,TRUE
Tina,Web Application Developer,FALSE
Ulysses,Customer Engagement Manager,TRUE
Vanessa,Web Services Developer,FALSE
Winston,Information Security Manager,TRUE
Xena,Program Analyst,FALSE
Yasmin,Network Consultant,TRUE
Zoe,Data Operations Manager,FALSE
Alex,Security Consultant,TRUE
Beatrice,Software Development Specialist,FALSE
Carter,Digital Content Strategist,TRUE
Daniel,Project Management Officer,FALSE
Ella,IT Vendor Manager,TRUE
Fiona,Customer Insights Analyst,FALSE
Garry,DevOps Consultant,TRUE
Holly,Marketing Communications Manager,FALSE
Ian,Cloud Security Architect,TRUE
Jennifer,Agile Product Owner,FALSE
Kyle,Data Migration Specialist,TRUE
Laura,Software Development Lifecycle Manager,FALSE
Mark,Technical Solutions Manager,TRUE
Natalie,Research and Development Specialist,FALSE
Owen,Sales Operations Analyst,TRUE
Pamela,Web Development Manager,FALSE
Quin,Product Evangelist,TRUE
Rachel,IT Program Director,FALSE
Simon,Digital Product Designer,TRUE
Tina,Business Analyst,FALSE
Uriah,Data Governance Manager,TRUE
Vera,Software Release Manager,FALSE
Wade,Digital Experience Manager,TRUE
Xena,Technical Operations Manager,FALSE
Yasmin,Web Accessibility Specialist,TRUE
Zach,Network Infrastructure Engineer,FALSE
